Long	Lat	Bloomday
-7.375	37.625	98.0
-7.375	37.375	96.0
-7.125	37.875	103.0
-7.125	37.625	100.0
-7.125	37.375	97.0
-6.875	38.125	108.0
-6.875	37.875	101.0
-6.875	37.625	94.0
-6.875	37.375	91.0
-6.625	37.875	104.0
-6.625	37.625	98.0
-6.625	37.375	93.0
-6.625	37.125	84.0
-6.375	37.875	104.0
-6.375	37.625	98.0
-6.375	37.375	89.0
-6.375	37.125	82.0
-6.375	36.875	94.0
-6.125	37.875	104.0
-6.125	37.625	98.0
-6.125	37.375	90.0
-6.125	37.125	84.0
-6.125	36.875	95.0
-6.125	36.625	95.0
-6.125	36.375	102.0
-5.875	38.125	118.0
-5.875	37.875	104.0
-5.875	37.625	98.0
-5.875	37.375	89.0
-5.875	37.125	85.0
-5.875	36.875	95.0
-5.875	36.625	92.0
-5.875	36.375	97.0
-5.625	38.125	117.0
-5.625	37.875	103.0
-5.625	37.625	98.0
-5.625	37.375	91.0
-5.625	37.125	92.0
-5.625	36.875	101.0
-5.625	36.625	99.0
-5.625	36.375	101.0
-5.625	36.125	97.0
-5.375	38.375	127.0
-5.375	38.125	119.0
-5.375	37.875	100.0
-5.375	37.625	95.0
-5.375	37.375	94.0
-5.375	37.125	99.0
-5.375	36.875	128.0
-5.375	36.625	123.0
-5.375	36.375	100.0
-5.125	38.625	126.0
-5.125	38.375	128.0
-5.125	38.125	119.0
-5.125	37.875	100.0
-5.125	37.625	96.0
-5.125	37.375	97.0
-5.125	37.125	100.0
-5.125	36.875	128.0
-5.125	36.625	120.0
-4.875	38.625	126.0
-4.875	38.375	139.0
-4.875	38.125	126.0
-4.875	37.875	105.0
-4.875	37.625	102.0
-4.875	37.375	104.0
-4.875	37.125	107.0
-4.875	36.875	111.0
-4.875	36.625	100.0
-4.625	38.375	141.0
-4.625	38.125	126.0
-4.625	37.875	105.0
-4.625	37.625	104.0
-4.625	37.375	106.0
-4.625	37.125	108.0
-4.625	36.875	110.0
-4.625	36.625	98.0
-4.375	38.125	125.0
-4.375	37.875	103.0
-4.375	37.625	104.0
-4.375	37.375	113.0
-4.375	37.125	112.0
-4.375	36.875	113.0
-4.125	38.375	138.0
-4.125	38.125	126.0
-4.125	37.875	104.0
-4.125	37.625	108.0
-4.125	37.375	124.0
-4.125	37.125	117.0
-4.125	36.875	116.0
-3.875	38.375	128.0
-3.875	38.125	119.0
-3.875	37.875	106.0
-3.875	37.625	116.0
-3.875	37.375	126.0
-3.875	37.125	119.0
-3.875	36.875	113.0
-3.625	38.375	129.0
-3.625	38.125	123.0
-3.625	37.875	109.0
-3.625	37.625	124.0
-3.625	37.375	131.0
-3.625	37.125	125.0
-3.625	36.875	119.0
-3.375	38.375	126.0
-3.375	38.125	119.0
-3.375	37.875	113.0
-3.375	37.625	127.0
-3.375	37.375	162.0
-3.375	37.125	157.0
-3.375	36.875	143.0
-3.125	38.375	130.0
-3.125	38.125	127.0
-3.125	37.875	124.0
-3.125	37.625	129.0
-3.125	37.375	161.0
-3.125	37.125	155.0
-3.125	36.875	138.0
-2.875	38.375	144.0
-2.875	38.125	143.0
-2.875	37.875	145.0
-2.875	37.625	146.0
-2.875	37.375	188.0
-2.875	37.125	173.0
-2.875	36.875	117.0
-2.625	38.375	148.0
-2.625	38.125	149.0
-2.625	37.875	150.0
-2.625	37.625	145.0
-2.625	37.375	183.0
-2.625	37.125	166.0
-2.625	36.875	110.0
-2.375	37.875	162.0
-2.375	37.625	157.0
-2.375	37.375	159.0
-2.375	37.125	148.0
-2.375	36.875	109.0
-2.125	37.875	157.0
-2.125	37.625	146.0
-2.125	37.375	150.0
-2.125	37.125	131.0
-2.125	36.875	102.0
-1.875	37.375	118.0
-1.875	37.125	107.0
