Long	Lat	ddbMinus10
-7.375	37.625	0.0
-7.375	37.375	0.0
-7.125	37.875	0.0
-7.125	37.625	0.0
-7.125	37.375	0.0
-6.875	38.125	0.0
-6.875	37.875	0.0
-6.875	37.625	0.0
-6.875	37.375	0.0
-6.625	37.875	0.0
-6.625	37.625	0.0
-6.625	37.375	0.0
-6.625	37.125	0.0
-6.375	37.875	0.0
-6.375	37.625	0.0
-6.375	37.375	0.0
-6.375	37.125	0.0
-6.375	36.875	0.0
-6.125	37.875	0.0
-6.125	37.625	0.0
-6.125	37.375	0.0
-6.125	37.125	0.0
-6.125	36.875	0.0
-6.125	36.625	0.0
-6.125	36.375	0.0
-5.875	38.125	0.0
-5.875	37.875	0.0
-5.875	37.625	0.0
-5.875	37.375	0.0
-5.875	37.125	0.0
-5.875	36.875	0.0
-5.875	36.625	0.0
-5.875	36.375	0.0
-5.625	38.125	0.0
-5.625	37.875	0.0
-5.625	37.625	0.0
-5.625	37.375	0.0
-5.625	37.125	0.0
-5.625	36.875	0.0
-5.625	36.625	0.0
-5.625	36.375	0.0
-5.625	36.125	0.0
-5.375	38.375	0.0
-5.375	38.125	0.0
-5.375	37.875	0.0
-5.375	37.625	0.0
-5.375	37.375	0.0
-5.375	37.125	0.0
-5.375	36.875	0.0
-5.375	36.625	0.0
-5.375	36.375	0.0
-5.125	38.625	0.0
-5.125	38.375	0.0
-5.125	38.125	0.0
-5.125	37.875	0.0
-5.125	37.625	0.0
-5.125	37.375	0.0
-5.125	37.125	0.0
-5.125	36.875	0.0
-5.125	36.625	0.0
-4.875	38.625	0.0
-4.875	38.375	0.0
-4.875	38.125	0.0
-4.875	37.875	0.0
-4.875	37.625	0.0
-4.875	37.375	0.0
-4.875	37.125	0.0
-4.875	36.875	0.0
-4.875	36.625	0.0
-4.625	38.375	0.2
-4.625	38.125	0.0
-4.625	37.875	0.0
-4.625	37.625	0.0
-4.625	37.375	0.0
-4.625	37.125	0.0
-4.625	36.875	0.0
-4.625	36.625	0.0
-4.375	38.125	0.0
-4.375	37.875	0.0
-4.375	37.625	0.0
-4.375	37.375	0.0
-4.375	37.125	0.0
-4.375	36.875	0.0
-4.125	38.375	0.0
-4.125	38.125	0.0
-4.125	37.875	0.0
-4.125	37.625	0.0
-4.125	37.375	0.0
-4.125	37.125	0.0
-4.125	36.875	0.0
-3.875	38.375	0.0
-3.875	38.125	0.0
-3.875	37.875	0.0
-3.875	37.625	0.0
-3.875	37.375	0.0
-3.875	37.125	0.0
-3.875	36.875	0.0
-3.625	38.375	0.0
-3.625	38.125	0.0
-3.625	37.875	0.0
-3.625	37.625	0.0
-3.625	37.375	0.0
-3.625	37.125	0.0
-3.625	36.875	0.0
-3.375	38.375	0.2
-3.375	38.125	0.0
-3.375	37.875	0.0
-3.375	37.625	0.0
-3.375	37.375	0.0
-3.375	37.125	0.0
-3.375	36.875	0.0
-3.125	38.375	0.2
-3.125	38.125	0.0
-3.125	37.875	0.0
-3.125	37.625	0.0
-3.125	37.375	0.0
-3.125	37.125	0.0
-3.125	36.875	0.0
-2.875	38.375	0.4
-2.875	38.125	0.0
-2.875	37.875	0.0
-2.875	37.625	0.0
-2.875	37.375	0.4
-2.875	37.125	0.0
-2.875	36.875	0.0
-2.625	38.375	0.3
-2.625	38.125	0.0
-2.625	37.875	0.0
-2.625	37.625	0.0
-2.625	37.375	0.6
-2.625	37.125	0.0
-2.625	36.875	0.0
-2.375	37.875	0.0
-2.375	37.625	0.0
-2.375	37.375	0.0
-2.375	37.125	0.0
-2.375	36.875	0.0
-2.125	37.875	0.0
-2.125	37.625	0.0
-2.125	37.375	0.0
-2.125	37.125	0.0
-2.125	36.875	0.0
-1.875	37.375	0.0
-1.875	37.125	0.0
