from_cat	DIST	FARMCODE
1	107048.118	CU0066
1	109370.0582	CU0067
1	108058.1318	CU0085
1	111141.2135	GH0210
1	184736.18	GU0001
1	181644.3258	GU0002
1	178125.163	GU0083
1	181031.5451	GU0087
1	181684.6142	GU0088
1	181687.1708	GU0203
1	155360.6365	AE0055
1	155905.8209	LC0005
1	155807.2639	LC0006
1	147210.8478	LC0137
1	155943.5262	LC0138
1	156046.1293	LC0193
1	161497.3117	SU0067
1	160927.4551	SU0071
1	166132.0351	SU0173
1	165793.4303	LC0136
1	146136.3765	SE0138
1	138105.2378	TO0134
1	140511.1924	TO0135
1	145168.4263	TO0136
1	150223.67	TO0139
1	125627.1752	GH0077
1	125023.1088	OR0031
1	139867.1598	OR0048
1	134752.8389	OR0049
1	134306.2687	OR0075
1	135238.029	OR0145
1	133314.4792	OR0033
1	136190.6523	OR0051
1	136675.5343	OR0061
1	132179.7133	OR0062
1	134698.6536	OR0064
1	132403.7637	OR0065
1	127178.657	OR0078
1	129085.108	OR0079
1	131979.7665	OR0171
1	102486.3166	NU0056
1	96306.11538	NU0153
1	131985.322	TO0140
1	131917.2941	TO0141
1	189208.9476	SM0200
1	179043.5576	SU0157
1	180269.6965	VS0064
1	181686.2414	VS0065
1	177983.5194	VS0066
1	86170.79229	AL0103
1	85452.67427	AL0109
1	90919.48998	AL0112
1	88662.80627	AL0174
1	86821.73871	TH0118
1	88430.08676	TH0119
1	88944.59876	TH0120
1	86767.53748	TH0179
1	72807.13203	BO0107
1	76807.3427	BO0108
1	87263.00637	MA0142
1	67430.21692	OZ0164
1	36016.86278	OZ0043
1	36016.86278	OZ0046
1	36400.53008	OZ0089
1	44514.13618	OZ0093
1	100056.2325	NU0140
1	89527.40905	NU0143
1	89453.98954	NU0144
1	89600.99161	NU0146
1	95861.19126	SI0001
1	94261.65444	SI0006
1	78487.09855	SI0056
1	95613.55948	SI0059
1	91764.58348	SI0089
1	97156.73626	SI0091
1	97203.28641	SI0149
1	78487.09855	SI0190
1	97189.28278	SO0150
1	65029.1573	SA0021
1	51679.95966	SS0091
1	54635.94299	SS0106
1	66372.88298	SS0113
1	61212.77199	SS0114
1	62047.22815	OZ0094
1	55982.99561	OZ0095
1	69267.95906	TH0123
1	72256.90379	TH0124
1	70396.83068	TH0125
1	72493.10467	TH0181
1	73345.92148	SS0105
1	67081.48027	TH0121
1	65475.95909	TH0122
1	66945.99367	TH0177
1	65270.96749	TH0182
2	37030.41387	CU0066
2	40933.01355	CU0067
2	38092.88837	CU0085
2	21049.76839	GH0210
2	56613.44698	GU0001
2	53693.53246	GU0002
2	50687.64258	GU0083
2	53089.49717	GU0087
2	53750.40752	GU0088
2	53558.20604	GU0203
2	27285.54703	AE0055
2	35431.10867	LC0005
2	35406.6743	LC0006
2	25224.45753	LC0137
2	36541.4954	LC0138
2	36681.66546	LC0193
2	40821.38342	SU0067
2	40939.57164	SU0071
2	41838.65889	SU0173
2	56137.01141	LC0136
2	48893.01144	SE0138
2	57609.05992	TO0134
2	61197.82721	TO0135
2	63175.88809	TO0136
2	69385.95192	TO0139
2	5773.9223	GH0077
2	17519.51664	OR0031
2	15846.07344	OR0048
2	10940.42871	OR0049
2	14446.47327	OR0075
2	9635.397826	OR0145
2	27731.58227	OR0033
2	28258.23521	OR0051
2	29683.26459	OR0061
2	23996.79084	OR0062
2	28937.93071	OR0064
2	24704.36225	OR0065
2	30928.25943	OR0078
2	28402.19998	OR0079
2	27910.80123	OR0171
2	49760.63827	NU0056
2	57794.41446	NU0153
2	54976.16414	TO0140
2	55076.46092	TO0141
2	65137.14578	SM0200
2	55528.36554	SU0157
2	59149.94484	VS0064
2	60713.3069	VS0065
2	57295.94275	VS0066
2	79010.42043	AL0103
2	79437.33071	AL0109
2	87773.78336	AL0112
2	78128.03568	AL0174
2	52735.5401	TH0118
2	52696.8841	TH0119
2	49368.0118	TH0120
2	52097.23087	TH0179
2	60010.11832	BO0107
2	52292.74934	BO0108
2	40873.05972	MA0142
2	60850.77787	OZ0164
2	98259.95214	OZ0043
2	98259.95214	OZ0046
2	94129.50341	OZ0089
2	84852.57333	OZ0093
2	71866.08096	NU0140
2	55968.68116	NU0143
2	56110.09886	NU0144
2	55827.26347	NU0146
2	83163.38177	SI0001
2	95986.06661	SI0006
2	98216.71558	SI0056
2	86641.53108	SI0059
2	79299.68936	SI0089
2	85641.72306	SI0091
2	85673.07505	SI0149
2	98216.71558	SI0190
2	85651.49709	SO0150
2	89842.38084	SA0021
2	96338.66363	SS0091
2	98066.55612	SS0106
2	88172.79193	SS0113
2	94071.36842	SS0114
2	69304.40803	OZ0094
2	72167.11007	OZ0095
2	63582.92724	TH0123
2	60672.76953	TH0124
2	63914.42257	TH0125
2	61640.08707	TH0181
2	77618.74451	SS0105
2	69195.68224	TH0121
2	69296.04777	TH0122
2	69273.90681	TH0177
2	69776.10121	TH0182
3	48885.44251	CU0066
3	53958.71573	CU0067
3	50456.57221	CU0085
3	31404.8047	GH0210
3	67244.7791	GU0001
3	65567.5698	GU0002
3	64001.66727	GU0083
3	65024.43471	GU0087
3	65684.46255	GU0088
3	63829.17122	GU0203
3	38619.29719	AE0055
3	34174.57979	LC0005
3	34078.02101	LC0006
3	25796.26557	LC0137
3	34287.05602	LC0138
3	34395.50712	LC0193
3	39800.57199	SU0067
3	39290.69358	SU0071
3	44606.31915	SU0173
3	48095.94486	LC0136
3	34495.44155	SE0138
3	39620.00572	TO0134
3	43341.0055	TO0135
3	46033.70855	TO0136
3	52547.47981	TO0139
3	23983.97308	GH0077
3	35436.63419	OR0031
3	35029.39933	OR0048
3	30633.99124	OR0049
3	34301.41181	OR0075
3	28968.33623	OR0145
3	46997.47811	OR0033
3	47838.90446	OR0051
3	49252.34961	OR0061
3	43282.01228	OR0062
3	48325.92083	OR0064
3	43988.12708	OR0065
3	48940.85236	OR0078
3	46922.06747	OR0079
3	46969.81748	OR0171
3	31498.23472	NU0056
3	40083.67586	NU0153
3	36137.03592	TO0140
3	36222.42092	TO0141
3	67474.88807	SM0200
3	57308.28625	SU0157
3	58739.85312	VS0064
3	60200.53437	VS0065
3	56502.72157	VS0066
3	87261.63175	AL0103
3	87539.13911	AL0109
3	97014.85875	AL0112
3	86910.34873	AL0174
3	58669.53176	TH0118
3	59323.22312	TH0119
3	55432.82176	TH0120
3	57846.71546	TH0179
3	49669.25165	BO0107
3	45186.55209	BO0108
3	38062.5973	MA0142
3	55130.42661	OZ0164
3	88911.25449	OZ0043
3	88911.25449	OZ0046
3	85996.89995	OZ0089
3	77282.47383	OZ0093
3	53047.68485	NU0140
3	40144.8003	NU0143
3	40281.45234	NU0144
3	40008.1814	NU0146
3	64647.45198	SI0001
3	77605.674	SI0006
3	81466.24331	SI0056
3	68132.40802	SI0059
3	61279.94162	SI0089
3	66993.66455	SI0091
3	67020.76874	SI0149
3	81466.24331	SI0190
3	67000.49256	SO0150
3	93789.20015	SA0021
3	97712.90249	SS0091
3	100205.8218	SS0106
3	92327.58966	SS0113
3	97404.61171	SS0114
3	68345.37842	OZ0094
3	66639.31433	OZ0095
3	64247.14985	TH0123
3	61782.62199	TH0124
3	65354.66245	TH0125
3	63313.34076	TH0181
3	82715.1431	SS0105
3	70830.01917	TH0121
3	70230.30498	TH0122
3	70872.16539	TH0177
3	70776.39591	TH0182
4	53453.21298	CU0066
4	58578.32606	CU0067
4	55291.67302	CU0085
4	46736.42304	GH0210
4	113001.2935	GU0001
4	110601.2345	GU0002
4	107988.8216	GU0083
4	110014.6373	GU0087
4	110680.8135	GU0088
4	109727.632	GU0203
4	83507.86027	AE0055
4	81278.14844	LC0005
4	81173.69529	LC0006
4	73048.13027	LC0137
4	81213.04486	LC0138
4	81310.7807	LC0193
4	86792.93727	SU0067
4	86169.7295	SU0071
4	91891.0928	SU0173
4	91151.93009	LC0136
4	72170.48717	SE0138
4	66632.61735	TO0134
4	69655.62368	TO0135
4	74159.47264	TO0136
4	80069.81775	TO0139
4	56680.69759	GH0077
4	60769.52951	OR0031
4	71808.16437	OR0048
4	66380.65068	OR0049
4	67461.94167	OR0075
4	66133.02944	OR0145
4	72292.70578	OR0033
4	74702.65009	OR0051
4	75702.44807	OR0061
4	69746.76475	OR0062
4	73894.78104	OR0064
4	70233.91823	OR0065
4	68871.89129	OR0078
4	69235.30988	OR0079
4	71333.21887	OR0171
4	30644.36025	NU0056
4	28183.42725	NU0153
4	60533.16768	TO0140
4	60498.4676	TO0141
4	114628.1941	SM0200
4	104467.0135	SU0157
4	105423.16	VS0064
4	106822.7887	VS0065
4	103123.0169	VS0066
4	68616.41514	AL0103
4	68462.32875	AL0109
4	78987.64188	AL0112
4	69674.44572	AL0174
4	44126.49082	TH0118
4	46079.17568	TH0119
4	43001.84946	TH0120
4	43309.91023	TH0179
4	2598.506809	BO0107
4	9291.399492	BO0108
4	22084.97432	MA0142
4	14523.66031	OZ0164
4	41674.31794	OZ0043
4	41674.31794	OZ0046
4	38815.19628	OZ0089
4	30468.71091	OZ0093
4	40692.67038	NU0140
4	19581.74241	NU0143
4	19597.36791	NU0144
4	19567.12658	NU0146
4	45775.32674	SI0001
4	54857.07239	SI0006
4	49206.59946	SI0056
4	48288.89359	SI0059
4	39974.84699	SI0089
4	48499.24408	SI0091
