from_cat	DIST	FARMCODE
1	36016.86278	OZ0046
2	5773.9223	GH0077
3	23983.97308	GH0077
4	2598.506809	BO0107
5	1599.823061	OZ0046
6	15988.21449	BO0107
7	3173.274586	OZ0094
8	16412.53348	OZ0094
9	5420.61053	OZ0095
10	11881.10944	SM0200
11	6544.748559	SM0200
12	51470.85432	SM0200
13	6336.408967	GH0210
14	4751.276959	TH0181
15	6089.055166	SU0157
16	28122.71468	GU0001
17	6199.632918	MA0142
18	5414.599232	TO0139
19	15784.41934	OZ0046
20	11788.72516	MA0142
21	5621.141547	OR0031
22	7541.729786	CU0067
23	31094.84273	LC0136
24	4348.330682	NU0146
25	4052.022057	LC0137
26	8590.789125	NU0140
27	11106.41553	AL0109
28	10336.98726	MA0142
29	3560.448232	NU0056
30	726.266504	SI0001
31	13106.25552	MA0142
32	7446.407983	OZ0094
33	7465.922493	SS0105
34	12939.32213	SE0138
35	12920.68943	GU0203
36	12836.50749	AE0055
37	3807.676917	SS0114
38	2325.951667	CU0066
39	3778.831058	SI0190
40	7158.745511	SU0071
41	2808.682254	SS0091
42	25968.91337	SS0114
43	24318.49372	SS0091
44	3734.040131	GU0001
45	4157.979019	TO0140
46	15498.54708	VS0065
47	40467.15401	SM0200
48	3294.981696	OR0062
