X	Y	YEAR	FARMCODE	PERC_INFEST
472064	4430042	1996	OR0031	69
460599	4425057	1996	OR0033	12
478551.3	4418414.68	1996	OR0049	0
457211	4507714	1996	SA0021	63
557664.71	4469264.97	1996	SI0001	84
435626.23	4494051.48	1997	AL0102	10
445164.49	4489623.67	1997	AL0103	10
445474.47	4490331.86	1997	AL0109	0
442726.04	4494049.1	1997	AL0111	23
513621.18	4477813.39	1997	BO0107	97
513621.18	4477813.39	1997	BO0107	97
503260.85	4473516.97	1997	BO0108	17
464459.87	4451766.09	1997	CU0066	11
483551.89	4426726.72	1997	GH0077	27
472064	4430042	1997	OR0031	2
475682.07	4413806.01	1997	OR0048	14
478551.3	4418414.68	1997	OR0049	23
460050.04	4422196.13	1997	OR0051	9
458623.43	4422203.73	1997	OR0061	0
464334.27	4424949.79	1997	OR0062	2
459350.81	4424042.34	1997	OR0064	8
463625.49	4424953.13	1997	OR0065	8
474282.74	4419848.53	1997	OR0075	0
458678.56	4432370.67	1997	OR0078	2
460558.11	4429585.79	1997	OR0079	59
519319.86	4516644.54	1997	OZ0043	6
519319.86	4516644.54	1997	OZ0046	4
512499.27	4514376.33	1997	OZ0089	0
508593.97	4505800.99	1997	OZ0093	11
483575.82	4492559.87	1997	OZ0094	4
515687	4355300	1997	QU0084	15
513065.42	4361515.72	1997	QU0085	2
557664.71	4469264.97	1997	SI0001	5
567119.58	4478169	1997	SI0006	70
558771	4491810	1997	SI0056	20
560432.43	4471384.82	1997	SI0059	49
560447.38	4469531.11	1997	SI0091	50
466599.82	4517282.48	1997	SS0091	0
458199.62	4494967.66	1997	SS0105	0
462309.86	4517980.22	1997	SS0106	0
457046	4505870	1997	SS0113	0
458180.03	4512540.6	1997	SS0114	0
468324.07	4472228.54	1997	TH0118	5
466436.28	4471370.91	1997	TH0119	5
469796.99	4469192.13	1997	TH0120	5
474526	4491230	1997	TH0121	5
476946.81	4491778.11	1997	TH0122	5
479564.44	4486397.92	1997	TH0123	5
479039.34	4483380.08	1997	TH0124	5
476946.93	4486316.7	1997	TH0125	5
435626.23	4494051.48	1998	AL0102	8
445164.49	4489623.67	1998	AL0103	12
435392.67	4493465.13	1998	AL0112	15
443859.23	4493951.68	1998	AL0173	6
443692.67	4487569.82	1998	AL0174	8
464459.87	4451766.09	1998	CU0066	80
458784.18	4451794.88	1998	CU0067	90
462543.91	4451497.83	1998	CU0085	33
475547.68	4371253.82	1998	GU0002	5
463838.34	4370067.56	1998	GU0177	0
479844.12	4370009.58	1998	GU0178	0
475682.07	4413806.01	1998	OR0048	23
478551.3	4418414.68	1998	OR0049	0
460050.04	4422196.13	1998	OR0051	0
474282.74	4419848.53	1998	OR0075	5
458678.56	4432370.67	1998	OR0078	4
460558.11	4429585.79	1998	OR0079	2
480685.65	4417487.78	1998	OR0145	3
460542.14	4426500.19	1998	OR0171	0
519319.86	4516644.54	1998	OZ0046	8
483575.82	4492559.87	1998	OZ0094	22
499562.58	4494695.43	1998	OZ0095	36
499934.87	4483140.02	1998	OZ0164	22
508593.97	4505800.99	1998	OZ0178	6
560447.38	4469531.11	1998	SI0091	13
458199.62	4494967.66	1998	SS0105	50
457046	4505870	1998	SS0113	3
458180.03	4512540.6	1998	SS0114	9
509921.86	4388801.85	1998	SU0067	18
509921.86	4388801.85	1998	SU0067	18
502776.69	4384167.8	1998	SU0173	59
468324.07	4472228.54	1998	TH0118	4
474526	4491230	1998	TH0121	1
479564.44	4486397.92	1998	TH0123	3
474626	4491330	1998	TH0177	2
469171.28	4471880.92	1998	TH0179	2
549661.08	4417004.05	1998	TO0133	2
556041.26	4408479.32	1998	TO0139	9
514005.45	4370151.77	1998	VS0064	66
514482.73	4372461.09	1998	VS0066	41
479325.93	4442464.9	1999	GH0210	6
475682.07	4413806.01	1999	OR0048	2
460050.04	4422196.13	1999	OR0051	7
460558.11	4429585.79	1999	OR0079	52
480685.65	4417487.78	1999	OR0145	8
460542.14	4426500.19	1999	OR0171	2
519319.86	4516644.54	1999	OZ0043	24
519319.86	4516644.54	1999	OZ0046	8
512499.27	4514376.33	1999	OZ0089	60
483575.82	4492559.87	1999	OZ0094	4
499562.58	4494695.43	1999	OZ0095	17
549661.08	4417004.05	1999	TO0133	19
545621.03	4417844.56	1999	TO0134	13
549075.16	4416389.78	1999	TO0135	10
514482.73	4372461.09	1999	VS0066	7
460542.14	4426500.19	2000	OR0171	3
519319.86	4516644.54	2000	OZ0043	10
519319.86	4516644.54	2000	OZ0046	20
512499.27	4514376.33	2000	OZ0089	10
508593.97	4505800.99	2000	OZ0093	26
483575.82	4492559.87	2000	OZ0094	5
519319.86	4516644.54	2001	OZ0043	2
483575.82	4492559.87	2001	OZ0094	1
499934.87	4483140.02	2001	OZ0164	4
403615	85945	2001	OZ0228	3
567119.58	4478169	2001	SI0006	6
