X	Y	BLOOMDAY	COD_AZIENDA
486340.7489	4396199.021	127	AE0055
445164.4872	4489623.665	134	AL0103
445474.4715	4490331.861	129	AL0109
435392.666	4493465.127	131.5	AL0112
443692.6713	4487569.819	134	AL0174
513621.1807	4477813.386	142.5	BO0107
503260.852	4473516.967	143	BO0108
464459.8741	4451766.091	152	CU0066
458784.1817	4451794.876	140.5	CU0067
462543.9128	4451497.832	152	CU0085
483551.8894	4426726.723	119	GH0077
479325.9252	4442464.898	145	GH0210
479123.66	4367547.655	145	GU0001
475547.6815	4371253.816	131	GU0002
471504.6784	4375584.892	113	GU0083
475549.6365	4371875.319	113	GU0087
475306.9023	4371254.577	128	GU0088
481281.168	4370316.742	126.5	GU0203
508573	4394370	140	LC0005
508673	4394470	134.8	LC0006
530312	4386202	146	LC0136
503212	4403084	127	LC0137
510455	4394370	146	LC0138
510555	4394270	130.7	LC0193
493539	4463949	149	MA0142
530005	4450532	131	NU0056
550012	4460214	120.5	NU0140
527572	4463275	145	NU0143
527672	4463375	137	NU0144
527472	4463175	137	NU0146
534480	4458142	131.7	NU0153
472064	4430042	117.7	OR0031
460599	4425057	132.5	OR0033
475682.0708	4413806.005	124.8	OR0048
478551.3036	4418414.684	116	OR0049
460050.0356	4422196.13	124.8	OR0051
458623.4304	4422203.725	119	OR0061
464334.2663	4424949.789	120	OR0062
459350.814	4424042.341	126	OR0064
463625.4941	4424953.134	126	OR0065
474282.745	4419848.53	127	OR0075
458678.5612	4432370.673	119.7	OR0078
460558.1086	4429585.793	120	OR0079
480685.6476	4417487.778	128	OR0145
460542.1429	4426500.189	128	OR0171
519319.8589	4516644.536	141	OZ0043
519319.8589	4516644.536	138.1	OZ0046
512499.266	4514376.327	139.3	OZ0089
508593.9699	4505800.992	139.8	OZ0093
483575.8244	4492559.866	146.8	OZ0094
499562.5782	4494695.434	140.3	OZ0095
499934.8713	4483140.018	141	OZ0164
457211	4507714	147.5	SA0021
534267.9962	4406807.887	146	SE0138
557664.7124	4469264.973	131	SI0001
567119.5774	4478169.003	125.5	SI0006
558771	4491810	131	SI0056
560432.4344	4471384.824	122	SI0059
551994	4470630	128.5	SI0089
560447.3809	4469531.106	111	SI0091
560498.4968	4469509.317	130.5	SI0149
558771	4491810	114.3	SI0190
507090.4953	4361052.887	137	SM0200
560473.0283	4469509.111	152	SO0150
466599.8218	4517282.479	138	SS0091
458199.6161	4494967.664	139	SS0105
462309.8584	4517980.219	137	SS0106
457046	4505870	139	SS0113
458180.0344	4512540.603	139	SS0114
509921.8585	4388801.849	133.7	SU0067
511065	4389401	149	SU0071
507227.291	4371218.938	134	SU0157
502776.6901	4384167.804	134	SU0173
468324.073	4472228.543	137.7	TH0118
466436.2847	4471370.911	146	TH0119
469796.9902	4469192.133	146	TH0120
474526	4491230	145	TH0121
476946.8079	4491778.113	150	TH0122
479564.4449	4486397.915	143	TH0123
479039.3379	4483380.076	147	TH0124
476946.9301	4486316.705	144.7	TH0125
474626	4491330	146	TH0177
469171.2775	4471880.916	145.5	TH0179
476965.2486	4484007.775	143.5	TH0181
476567.2516	4492201.11	148.5	TH0182
545621.0257	4417844.562	143.7	TO0134
549075.1626	4416389.779	140	TO0135
550404.1733	4411925.319	139	TO0136
556041.2556	4408479.322	131	TO0139
543258	4423529	125	TO0140
543358	4423629	128.5	TO0141
514005.4502	4370151.766	129	VS0064
514730.5379	4368765.835	136	VS0065
514482.734	4372461.094	127	VS0066
