Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83
OliveGIS	15giu12	12.26.06	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\LY_620020_NALUT.txt	10.983	31.867	1	731	12	31	Avg	2636.68636363636	0.109090909090909	8929.65	10590.6454545455	98.409090909091	22	55.0681818181818	612.604545454545	146.631818181818	0	0	0
OliveGIS	15giu12	12.26.13	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\LY_620070_ZUARA.txt	12.083	32.883	1	731	12	31	Avg	2685.24090909091	0.0318181818181818	10326.6090909091	10955.4	85	22	13.5363636363636	270.690909090909	247.040909090909	0	0	0
OliveGIS	15giu12	12.26.19	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\LY_620080_YEFREN.txt	12.55	32.083	1	731	12	31	Avg	2636.06818181818	0.181818181818182	8837.58636363636	10303.0954545455	101.681818181818	22	53.1318181818182	716.440909090909	192.722727272727	0	0	0.0090909090909091
OliveGIS	15giu12	12.26.25	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\LY_620100_TRIPOLI_INTERNATION.txt	13.083	32.7	1	731	12	31	Avg	2668.88636363636	0.0181818181818182	9485.82727272727	11137.1318181818	90.6363636363636	22	43.3545454545455	410.859090909091	246.563636363636	0	0	0
OliveGIS	15giu12	12.26.32	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\LY_620120_EL_KHOMS.txt	14.3	32.633	1	731	12	31	Avg	2690.99545454545	0	10607.8090909091	11403.4818181818	87.1818181818182	22	12.4681818181818	456.427272727273	287.509090909091	0	0	0
OliveGIS	15giu12	12.26.37	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\LY_620160_MISURATA.txt	15.05	32.417	1	731	12	31	Avg	2692.85454545455	0	10627.3772727273	11334.1681818182	84.7727272727273	22	6.21363636363636	367.072727272727	266.536363636364	0	0	0
OliveGIS	15giu12	12.26.43	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\LY_620190_SIRTE.txt	16.583	31.2	1	731	12	31	Avg	2695.90909090909	0	11174.4863636364	11897.0181818182	81.7272727272727	22	6.91818181818182	273.440909090909	172.131818181818	0	0	0
OliveGIS	15giu12	12.26.50	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\LY_620530_BENINA.txt	20.267	32.1	1	731	12	31	Avg	2669.28636363636	0.0772727272727273	10103.7772727273	10890.7636363636	95	22	16.9090909090909	680.390909090909	263.222727272727	0	0	0
OliveGIS	15giu12	12.26.55	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\LY_620550_AGEDABIA.txt	20.167	30.717	1	731	12	31	Avg	2682.94545454545	0	9503.94545454546	10654.3681818182	83.5454545454545	22	17.9363636363636	31.6590909090909	186.109090909091	0	0	0
OliveGIS	15giu12	12.27.01	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\LY_620560_SHAHAT.txt	21.883	32.8	1	731	12	31	Avg	2626.54545454545	0.0818181818181818	8480.53181818182	8622.99545454545	121.409090909091	22	76.4590909090909	2170.71363636364	407.181818181818	0	0	0
OliveGIS	15giu12	12.27.05	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\LY_620590_DERNA.txt	22.583	32.783	1	731	12	31	Avg	2701.58636363636	0	11027.0545454545	11349.4590909091	84.4090909090909	22	1.67727272727273	436.177272727273	240.622727272727	0	0	0
OliveGIS	15giu12	12.27.11	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\LY_621030_GHADAMES.txt	9.5	30.133	1	731	12	31	Avg	2668.60454545455	0.0681818181818182	8022.2409090909	10678.3863636364	81.8181818181818	22	53.9590909090909	-735.631818181818	49.7045454545455	0	0	0
OliveGIS	15giu12	12.27.20	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\LY_621200_GARIAT_EL-SHARGHIA.txt	13.583	30.383	1	731	12	31	Avg	2657.75454545455	0.281818181818182	9101.90454545454	10925.6863636364	89.1818181818182	22	61.25	50.7727272727273	75.8863636363636	0	0	0.00454545454545455
OliveGIS	15giu12	12.27.28	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\LY_621240_SEBHA.txt	14.45	27.017	1	731	12	31	Avg	2681.53181818182	0.0818181818181818	8733.34545454546	11469.1636363636	79.0909090909091	22	50.5181818181818	-1005.04090909091	29.1636363636364	0	0	0
OliveGIS	15giu12	12.27.36	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\LY_621310_HON.txt	15.933	29.117	1	731	12	31	Avg	2674.01818181818	0.0863636363636364	9393.1	11474.4909090909	83.4090909090909	22	54.2818181818182	-389.868181818182	58.9909090909091	0	0	0
OliveGIS	15giu12	12.27.45	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\LY_621610_JALO.txt	21.567	29.033	1	731	12	31	Avg	2698.54545454545	0	9504.1409090909	11704.5363636364	77	22	20.5045454545455	-822.468181818182	34.6227272727273	0	0	0
OliveGIS	15giu12	12.27.53	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\LY_622590_TAZERBO.txt	21.133	25.8	1	731	12	31	Avg	2699.94545454545	0.0363636363636364	9294.69090909091	11863.9954545455	77.6818181818182	22	44.8772727272727	-957.872727272727	9.41363636363636	0	0	0
OliveGIS	15giu12	12.28.02	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\LY_622710_KUFRA.txt	23.3	24.217	1	731	12	31	Avg	2705.92272727273	0.00454545454545455	9175.5590909091	11946.2363636364	74.8181818181818	22	27.7545454545455	-1220.54545454545	17.9818181818182	0	0	0
OliveGIS	15giu12	12.28.10	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\TS_607100_TABARKA.txt	8.75	36.95	1	731	12	31	Avg	2652.41818181818	0.181818181818182	8061.03636363636	8605.46363636364	106.727272727273	22	50.95	1752.84545454545	947.15909090909	0	0	0
OliveGIS	15giu12	12.28.16	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\TS_607140_BIZERTE.txt	9.8	37.25	1	731	12	31	Avg	2648.76818181818	0.5	7986.08181818182	8377.37272727273	110.863636363636	22	68.2636363636364	1687.01363636364	633.763636363636	0	0	0
OliveGIS	15giu12	12.28.21	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\TS_607150_TUNIS-CARTHAGE.txt	10.233	36.833	1	731	12	31	Avg	2658.63636363636	0.263636363636364	9004.38636363636	9687.1909090909	101.772727272727	22	39.1818181818182	1109.55909090909	492.540909090909	0	0	0
OliveGIS	15giu12	12.28.26	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\TS_607200_KELIBIA.txt	11.083	36.85	1	731	12	31	Avg	2658.74545454545	0.140909090909091	9046.9090909091	9267.4909090909	107.181818181818	22	23.4818181818182	1583.39545454545	575.336363636364	0	0	0
OliveGIS	15giu12	12.28.32	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\TS_607250_JENDOUBA.txt	8.8	36.483	1	731	12	31	Avg	2644.51363636364	3.00454545454545	7759.15909090909	8766.58636363636	111.863636363636	22	121.322727272727	1453.40454545455	534.15	0	0.00454545454545455	0.0318181818181818
OliveGIS	15giu12	12.28.37	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\TS_607340_SILIANA.txt	9.367	36.067	1	731	12	31	Avg	2631.36363636364	0.85	7411.65	8290.9909090909	122.045454545455	22	154.104545454545	1780.78181818182	470.568181818182	0	0	0
OliveGIS	15giu12	12.28.42	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\TS_607350_KAIROUAN.txt	10.1	35.667	1	731	12	31	Avg	2667.06818181818	0.0454545454545455	9166.72272727273	10435.6409090909	94.3181818181818	22	41.1454545454545	541.913636363636	323.022727272727	0	0	0
OliveGIS	15giu12	12.28.48	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\TS_607380_THALA.txt	8.683	35.55	1	731	12	31	Avg	2504.92727272727	5.75454545454545	6145.55909090909	6786.84545454545	145	22	347.004545454545	2432.49090909091	425.227272727273	0	0.0954545454545455	0.213636363636364
OliveGIS	15giu12	12.28.52	C:\models\wx\GSOD_NCDC_LibyaTunisia_wx_1988-2010\TS_607400_MONASTIR-SKANES.txt	10.75	35.667	1	731	12	31	Avg	2665.22727272727	0.127272727272727	9717.86818181818	10304.1409090909	95.7272727272727	22	23.6772727272727	830.336363636364	372.322727272727	0	0	0
