Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	04mar10	16.33.03	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_1_43.txt	-9.3987	29.205	1	730	12	31	Avg	2654.9756097561	0	8817.10731707317	10465.5487804878	80.8048780487805	41	21.9292682926829	433.729268292683	126.5	0	4595.42878048780	21947.6812195122	9285.12770731707	2819.64	1391.66829268293	2168.52756097561	19.7
OliveGIS	04mar10	16.34.03	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_1_44.txt	-9.4915	29.4616	1	730	12	31	Avg	2661.91951219512	0	8940.60487804878	10591.4414634146	79.0487804878049	41	18.4268292682927	482.443902439024	91.2390243902439	0	6066.09170731707	28965.9226829268	11849.7608292683	3701.83	1775.35756097561	2699.3743902439	24.1509756097561
OliveGIS	04mar10	16.35.03	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_1_45.txt	-9.5849	29.7183	1	730	12	31	Avg	2695.80243902439	0	10202.3097560976	11499.0219512195	70.5853658536585	41	3.9609756097561	-63.4414634146341	165.775609756098	0	7667.01487804878	36776.0948780488	15728.7632926829	4549.43731707317	2312.57317073171	3392.69268292683	28.460243902439
OliveGIS	04mar10	12.06.17	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_10_44.txt	-6.8115	30.1534	1	730	12	31	Avg	2642.17073170732	0.097560975609756	7939.7	9643.48048780488	88.1463414634146	41	68.7487804878049	99.309756097561	470.1	0	917.286341463415	4779.46146341463	2119.82387804878	742.333658536585	345.558292682927	589.823170731707	5.56341463414634
OliveGIS	04mar10	12.07.32	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_10_45.txt	-6.8958	30.4135	1	730	12	31	Avg	2629.5756097561	0.65609756097561	8074.67804878049	9188.70243902439	102.317073170732	41	134.295121951219	951.585365853659	688.151219512195	0	3983.59097560976	22740.9243902439	8487.44797560976	2363.84365853659	1428.98219512195	2403.70829268293	25.0441463414634
OliveGIS	04mar10	12.07.51	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_10_46.txt	-6.9807	30.6738	1	730	12	31	Avg	2622.93902439024	2.26097560975610	7803.33902439024	8441.82926829268	112.609756097561	41	196.3	1521.80975609756	698.49756097561	0	10311.7465853659	52506.9568292683	20144.5883902439	6772.3543902439	2633.0456097561	4028.48048780488	46.1548780487805
OliveGIS	04mar10	12.08.08	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_10_47.txt	-7.0663	30.9344	1	730	12	31	Avg	2604.28536585366	5.56829268292683	7129.67073170732	7425.01219512195	122.731707317073	41	278.812195121951	1952.31707317073	538.817073170732	0	17551.4617073171	95763.0190243902	65345.1633414634	17261.4602439024	3810.24853658537	4518.95268292683	59.9451219512195
OliveGIS	04mar10	12.08.22	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_10_48.txt	-7.1526	31.1951	1	730	12	31	Avg	2251.81463414634	28.4390243902439	4465.91707317073	4598.5243902439	138.390243902439	41	598.314634146341	2502.53658536585	1340.80487804878	0	6765.29365853659	41448.7095121951	44701.9575365854	4490.24853658537	1249.73195121951	1426.69365853659	49.4382926829268
OliveGIS	04mar10	12.08.35	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_10_49.txt	-7.2395	31.456	1	730	12	31	Avg	2376.95365853659	18.3682926829268	5595.60487804878	5791.90731707317	133.414634146341	41	494.973170731707	2500.36097560976	2059.61951219512	0	11472.4195121951	74548.3580487805	73964.9515609756	9552.10902439024	2161.83975609756	2314.49073170732	47.1970731707317
OliveGIS	04mar10	12.08.45	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_10_50.txt	-7.3271	31.7171	1	730	12	31	Avg	2648.09024390244	1.42682926829268	7739.59268292683	8682.11219512195	101.048780487805	41	144.658536585366	1672.05121951220	1343.18536585366	0	7790.45414634146	38271.4197560976	13968.4455853659	3778.01268292683	1949.80756097561	3278.55073170732	39.1358536585366
OliveGIS	04mar10	12.08.58	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_10_51.txt	-7.4153	31.9784	1	730	12	31	Avg	2687.10487804878	0.258536585365854	9347.59024390244	10626.6926829268	83.609756097561	41	73.3975609756097	1054.12195121951	956.885365853659	0	4650.99365853659	23222.5707317073	8601.14726829268	2205.46243902439	1387.12	2455.05731707317	23.8270731707317
OliveGIS	04mar10	12.09.29	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_10_52.txt	-7.5043	32.2399	1	730	12	31	Avg	2680.45853658537	0	10340.3634146341	11569.8219512195	78.0975609756098	41	27.6926829268293	658.531707317073	803.114634146341	0	5492.64390243902	28371.8778048780	10620.6759512195	2868.24463414634	1757.34756097561	2904.27390243902	23.4458536585366
OliveGIS	04mar10	12.10.21	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_10_53.txt	-7.5939	32.5016	1	730	12	31	Avg	2677.76341463415	0.075609756097561	9829.88536585366	11018.5195121951	82.8048780487805	41	61.7658536585366	1077.32439024390	722.524390243902	0	5325.3612195122	27012.3768292683	10028.9606341463	2545.85951219512	1614.26121951220	2814.98780487805	24.1248780487805
OliveGIS	04mar10	12.10.49	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_10_54.txt	-7.6842	32.7634	1	730	12	31	Avg	2680.42195121951	0.0658536585365854	9794.90975609756	10930.1804878049	83.7317073170732	41	61.4609756097561	1175.76097560976	994.539024390244	0	6039.10951219512	30052.8480487805	10860.0953658537	2663.80780487805	1730.17536585366	3069.9043902439	26.7365853658537
OliveGIS	04mar10	12.11.13	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_10_55.txt	-7.7752	33.0254	1	730	12	31	Avg	2685.57804878049	0.0195121951219512	9913.53658536585	10859.2512195122	83.0487804878049	41	48.990243902439	1323.34390243902	1058.95609756098	0	9509.72390243902	46512.1473170732	16364.7693170732	3904.98780487805	2505.54146341463	4188.90902439024	37.4965853658537
OliveGIS	04mar10	12.11.33	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_10_56.txt	-7.867	33.2875	1	730	12	31	Avg	2687.87804878049	0.0146341463414634	10288.2560975610	10947.5146341463	83.0487804878049	41	34.9439024390244	1510.35609756098	1212.58048780488	0	18258.3204878049	87132.4307317073	33018.4919756098	8119.95756097561	4395.8043902439	6212.7212195122	54.3163414634146
OliveGIS	04mar10	11.40.46	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_42.txt	21.7369	31.9343	1	730	12	31	Avg	2638.96585365854	0	9978.34390243902	11050.8414634146	95.4146341463415	41	59.4780487804878	770.480487804878	492.182926829268	0	6000.42219512195	33174.2802439024	12387.5122195122	3146.01	2041.58829268293	3428.71463414634	29.4334146341463
OliveGIS	04mar10	11.41.14	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_43.txt	21.7639	32.2054	1	730	12	31	Avg	2628.52926829268	0	9718.08536585366	10387.7268292683	102.926829268293	41	83.3243902439024	1207.9	684.643902439024	0	8631.30487804878	44492.9543902439	15731.1501707317	3626.47341463415	2483.26878048781	4113.27804878049	37.6317073170732
OliveGIS	04mar10	11.41.30	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_44.txt	21.7912	32.4768	1	730	12	31	Avg	2615.80487804878	0.0024390243902439	9083.71219512195	9403.11951219512	111.536585365854	41	109.878048780488	1693.56341463415	1182.82195121951	0	15239.3673170732	76194.4443902439	29456.8676829268	10412.8443902439	3716.81146341463	5177.00487804878	52.7848780487805
OliveGIS	04mar10	11.41.43	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_45.txt	21.8186	32.7484	1	730	12	31	Avg	2622.05609756098	0.0292682926829268	8760.89512195122	9038.69512195122	112.268292682927	41	106.431707317073	1855.92439024390	1867.94390243902	0	19874.6085365854	102793.397317073	44175.3067317073	17140.4785365854	4953.15804878049	5774.45219512195	61.3726829268293
OliveGIS	04mar10	11.41.55	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_61.txt	22.2904	37.1265	1	730	12	31	Avg	2494.58292682927	12.6707317073171	5373.56097560976	6471.38780487805	145.682926829268	41	394.056097560976	2247.97560975610	2291.65853658537	0	19528.5651219512	125432.638292683	143467.476268293	25610.8131707317	4384.93756097561	4171.49902439024	64.7139024390244
OliveGIS	04mar10	11.42.04	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_62.txt	22.3221	37.4019	1	730	12	31	Avg	2087.64390243902	38.2024390243902	4788.07804878049	5246.96585365854	155.829268292683	41	652.948780487805	2639.44146341463	1969.52926829268	0	11917.6168292683	93201.983902439	94576.1059756098	10144.2260975610	2124.04853658537	2162.05829268293	54.2819512195122
OliveGIS	04mar10	11.42.13	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_63.txt	22.354	37.6774	1	730	12	31	Avg	1932.40731707317	45.5853658536585	4043.28048780488	4558.89268292683	158.926829268293	41	710.058536585366	2805.79024390244	1998.94390243902	0	7437.2756097561	58039.4224390244	55664.0350243902	6101.48414634146	1265.80634146341	1322.66487804878	50.559756097561
OliveGIS	04mar10	11.42.19	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_64.txt	22.3862	37.9531	1	730	12	31	Avg	1983.58536585366	26.609756097561	4985.36829268293	5704.92195121951	157.243902439024	41	571.056097560976	3005.95609756098	4063.15365853659	0	19224.7380487805	142631.667317073	152582.099902439	20933.4695121951	3193.24170731707	3058.21902439024	56.810243902439
OliveGIS	04mar10	11.42.28	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_66.txt	22.4515	38.5049	1	730	12	31	Avg	2395.09756097561	21.8878048780488	5478.41463414634	6189.78536585366	148.756097560976	41	488.821951219512	2327.71707317073	2476.21951219512	0	20399.0182926829	137153.605365854	165131.085487805	25164.0607317073	4432.58975609756	3971.71	66.220487804878
OliveGIS	04mar10	11.42.37	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_67.txt	22.4846	38.7811	1	730	12	31	Avg	2052.78292682927	51.4536585365854	3863.00487804878	4241.40487804878	156.341463414634	41	695.756097560976	2668.15853658537	2315.85609756098	0	7596.90487804878	59668.0341463415	60948.9257560976	6822.3743902439	1337.08317073171	1392.97073170732	56.8780487804878
OliveGIS	04mar10	11.42.45	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_68.txt	22.518	39.0574	1	730	12	31	Avg	2240.55365853659	34.9829268292683	4966.42195121951	5317.05609756098	151.146341463415	41	588.336585365854	2526.34146341463	2460.90975609756	0	14232.3878048780	99646.457804878	113806.237463415	14093.8102439024	2705.88634146341	2637.21609756098	60.03
OliveGIS	04mar10	11.42.53	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_69.txt	22.5516	39.3338	1	730	12	31	Avg	2402.00975609756	25.5073170731707	6050.2243902439	6518.08292682927	145.682926829268	41	506.509756097561	2343.24390243902	2177.22439024390	0	20139.5904878049	134992.933414634	144192.459512195	22719.1351219512	4127.41390243902	3898.16975609756	63.4448780487805
OliveGIS	04mar10	11.43.03	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_70.txt	22.5856	39.6104	1	730	12	31	Avg	2130.98780487805	20.1926829268293	5323.67073170732	6021.63170731707	146.439024390244	41	488.30487804878	2895.78780487805	2407.79512195122	0	33100.1556097561	218797.689756098	284029.863268293	63314.9231707317	6894.50756097561	4628.69853658537	76.0214634146341
OliveGIS	04mar10	11.43.11	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_71.txt	22.6199	39.887	1	730	12	31	Avg	2483.98536585366	18.9439024390244	6400.34634146341	6916.7512195122	141.463414634146	41	433.895121951219	2204.01463414634	3274.65609756098	0	24745.8102439024	160388.176829268	181674.518243902	35977.0265853659	5638.60414634146	4783.9912195122	70.0219512195122
OliveGIS	04mar10	11.43.21	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_74.txt	22.7245	40.7178	1	730	12	31	Avg	2500.84634146341	34.0195121951220	5615.86097560976	6059.77804878049	143.731707317073	41	505.943902439024	2056.67073170732	1737.1	0	11331.4746341463	70182.6251219512	65836.7799268293	10410.4046341463	2264.50097560976	2621.39073170732	60.7185365853659
OliveGIS	04mar10	11.43.32	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_75.txt	22.7601	40.9949	1	730	12	31	Avg	2325.65609756098	50.3365853658537	2332.10487804878	2562.45121951220	150.463414634146	41	655.89268292683	2264.12439024390	2187.78536585366	0	5398.72975609756	33003.6180487805	31542.8471707317	4179.65170731707	1029.33097560976	1204.22414634146	65.4943902439024
OliveGIS	04mar10	11.43.42	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_76.txt	22.796	41.2721	1	730	12	31	Avg	2028.13902439024	80	492.429268292683	540.980487804878	159.780487804878	41	827.556097560976	2544.96585365854	2887.86097560976	0	771.099512195122	5914.96682926829	5528.01890243902	595.170487804878	143.854878048780	154.224878048780	71.2307317073171
OliveGIS	04mar10	11.43.50	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_77.txt	22.8321	41.5494	1	730	12	31	Avg	1631.37317073171	137.829268292683	0.0317073170731707	0.0463414634146342	173.25	4	1043.75121951220	210.380487804878	298.212195121951	0	0.268536585365854	1.94146341463415	2.06529268292683	4.14512195121951	0.0360975609756098	0.0339024390243902	7.06780487804878
OliveGIS	04mar10	11.43.53	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_78.txt	22.8687	41.8268	1	730	12	31	Avg	1387.11951219512	214.363414634146	0.0048780487804878	0.0097560975609756	180.333333333333	3	1263.49512195122	147.058536585366	241.341463414634	0	0.0346341463414634	0.288292682926829	0.209878048780488	2.22926829268293	0.00365853658536585	0.0048780487804878	5.35024390243902
OliveGIS	04mar10	11.43.57	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_79.txt	22.9056	42.1042	1	730	12	31	Avg	1194.45609756098	260.468292682927	0	0	0	0	1416.91463414634	0	12.9341463414634	0	0	0	0	0	0	0	0
OliveGIS	04mar10	11.43.59	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_80.txt	22.9428	42.3817	1	730	12	31	Avg	1234.55365853659	269.714634146341	0	0	0	0	1410.34878048780	0	10.7560975609756	0	0	0	0	0	0	0	0
OliveGIS	04mar10	11.44.01	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_81.txt	22.9804	42.6593	1	730	12	31	Avg	1277.55609756098	257.682926829268	0	0	0	0	1364.53414634146	0	10.1365853658537	0	0	0	0	0	0	0	0
OliveGIS	04mar10	11.44.04	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_82.txt	23.0183	42.937	1	730	12	31	Avg	1328.52682926829	245.726829268293	0	0	0	0	1314.57317073171	0	13.7634146341463	0	0	0	0	0	0	0	0
OliveGIS	04mar10	11.44.07	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_83.txt	23.0566	43.2147	1	730	12	31	Avg	1391.48780487805	214.819512195122	0	0	179	1	1213.88048780488	0	84.6463414634146	0	0	0	0	0	0.000731707317073171	0.00024390243902439	0
OliveGIS	04mar10	11.44.09	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_84.txt	23.0952	43.4924	1	730	12	31	Avg	1751.18048780488	151.480487804878	0.0365853658536585	0.0463414634146341	170	4	1006.98292682927	210.631707317073	318.392682926829	0	0.569756097560976	3.70951219512195	15.0536585365854	10.3439024390244	0.100243902439024	0.0485365853658537	7.60926829268293
OliveGIS	04mar10	11.44.12	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_85.txt	23.1343	43.7702	1	730	12	31	Avg	2064.88780487805	103.048780487805	3.05365853658537	3.45853658536585	160	4	874.160975609756	237.351219512195	290.826829268293	0	19.6407317073171	127.218536585366	351.728926829268	133.385365853659	3.97756097560976	2.91658536585366	7.60121951219512
OliveGIS	04mar10	11.44.16	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_86.txt	23.1737	44.048	1	730	12	31	Avg	2128.66829268293	95.6317073170732	6.2609756097561	7.2	158	4	861.282926829268	226.526829268293	269.992682926829	0	29.3914634146341	187.413170731707	345.230609756098	82.0012195121951	6.05707317073171	5.30146341463415	7.46634146341463
OliveGIS	04mar10	11.44.19	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_87.txt	23.2134	44.3258	1	730	12	31	Avg	2022.15121951220	107.431707317073	1.66097560975610	1.92926829268293	161.25	4	913.824390243902	234.60243902439	316.678048780488	0	8.8780487804878	59.6382926829268	110.912048780488	33.5524390243902	1.75463414634146	1.49780487804878	7.58853658536585
