Model	Date	Time	WxFile	Long	Lat	JdStart	JdEnd	Month	Day	Year	dd	bales	TempIncr	PbwEggt	PbwLrDys	PbwAdDys	PbwL/Bol	FromDiap	ToDiap	PbwCldLx	Tddb10
CotsimGIS	26Jul13	12:31:20-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1432.txt	84.3750	23.5720	277	365	12	31	Avg	2177.4590	1.2420	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9949	57.7948	
CotsimGIS	26Jul13	12:31:24-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1433.txt	84.6870	23.5720	277	365	12	31	Avg	2215.5410	1.3602	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9996	39.6013	
CotsimGIS	26Jul13	6:36:10-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1434.txt	85.0000	23.5720	278	365	12	31	Avg	2300.8033	1.3652	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	26.4532	
CotsimGIS	26Jul13	6:36:15-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1435.txt	85.3120	23.5720	279	365	12	31	Avg	2393.4426	1.4567	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	16.8875	
CotsimGIS	26Jul13	6:36:19-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1436.txt	85.6250	23.5720	280	365	12	31	Avg	2490.5738	1.4151	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	9.3703	
CotsimGIS	26Jul13	6:36:23-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1437.txt	85.9370	23.5720	280	365	12	31	Avg	2671.7049	1.6102	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	6.1550	
CotsimGIS	26Jul13	6:36:26-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1438.txt	86.2500	23.5720	280	365	12	31	Avg	2837.6885	1.6831	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	5.4399	
CotsimGIS	26Jul13	6:36:30-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1501.txt	84.0620	23.2600	308	365	12	31	Avg	2072.1311	1.3610	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9865	68.4129	
CotsimGIS	26Jul13	6:36:33-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1502.txt	84.3750	23.2600	308	365	12	31	Avg	2099.8361	1.2908	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9986	49.7863	
CotsimGIS	26Jul13	6:36:37-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1503.txt	84.6870	23.2600	308	365	12	31	Avg	2220.7541	1.4321	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	29.2701	
CotsimGIS	26Jul13	6:36:41-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1504.txt	85.0000	23.2600	279	365	12	31	Avg	2326.7377	1.5111	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	19.6944	
CotsimGIS	26Jul13	6:36:44-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1505.txt	85.3120	23.2600	280	365	12	31	Avg	2419.8525	1.6003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	14.3471	
CotsimGIS	26Jul13	6:36:48-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1506.txt	85.6250	23.2600	281	365	12	31	Avg	2524.6393	1.6659	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	9.1390	
CotsimGIS	26Jul13	6:36:52-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1569.txt	84.3750	22.9480	280	365	12	31	Avg	2282.4590	1.5287	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	31.3629	
